"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"JASNW","Jason Industries, Inc.","0.0485","n/a","2013","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/jasnw",
"JAZZ","Jazz Pharmaceuticals plc","134.83","$8.06B","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jazz",
"JD","JD.com, Inc.","31.06","$44.12B","2014","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/jd",
"JSYN","Jensyn Acquistion Corp.","10.1897","$52.68M","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsyn",
"JSYNR","Jensyn Acquistion Corp.","0.34","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsynr",
"JSYNU","Jensyn Acquistion Corp.","10.8","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsynu",
"JSYNW","Jensyn Acquistion Corp.","0.2501","n/a","2016","Finance","Business Services","http://www.nasdaq.com/symbol/jsynw",
"JBLU","JetBlue Airways Corporation","20.05","$6.76B","2002","Transportation","Air Freight/Delivery Services","http://www.nasdaq.com/symbol/jblu",
"JTPY","JetPay Corporation","2.55","$39.48M","2011","Finance","Business Services","http://www.nasdaq.com/symbol/jtpy",
"JCTCF","Jewett-Cameron Trading Company","12.05","$27.55M","n/a","Consumer Services","RETAIL: Building Materials","http://www.nasdaq.com/symbol/jctcf",
"JIVE","Jive Software, Inc.","4.35","$344.4M","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/jive",
"WYIG","JM Global Holding Company","9.95","$65.3M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyig",
"WYIGU","JM Global Holding Company","10.5","$68.91M","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyigu",
"WYIGW","JM Global Holding Company","0.45","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/wyigw",
"JMU","JMU Limited","3.09","$248.01M","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/jmu",
"JBSS","John B. Sanfilippo & Son, Inc.","64.48","$726.4M","1991","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/jbss",
